date,value
2022-10-05 04:00:00,0.06499
2022-10-04 04:00:00,0.06026
2022-10-03 04:00:00,0.05947
2022-10-02 04:00:00,0.06073
2022-10-01 04:00:00,0.06165
2022-09-30 04:00:00,0.06037
2022-09-29 04:00:00,0.06081
2022-09-28 04:00:00,0.05937
2022-09-27 04:00:00,0.06257
2022-09-26 04:00:00,0.06123
2022-09-25 04:00:00,0.06337
2022-09-24 04:00:00,0.06589
2022-09-23 04:00:00,0.06146
2022-09-22 04:00:00,0.05743
2022-09-21 04:00:00,0.05921
2022-09-20 04:00:00,0.0586
2022-09-19 04:00:00,0.05686
2022-09-18 04:00:00,0.06135
2022-09-17 04:00:00,0.06059
2022-09-16 04:00:00,0.05951
2022-09-15 04:00:00,0.0602
2022-09-14 04:00:00,0.06054
2022-09-13 04:00:00,0.06357
2022-09-12 04:00:00,0.06296
2022-09-11 04:00:00,0.06427
2022-09-10 04:00:00,0.06377
2022-09-09 04:00:00,0.06224
2022-09-08 04:00:00,0.06093
2022-09-07 04:00:00,0.05842
2022-09-06 04:00:00,0.06333
2022-09-05 04:00:00,0.06316
2022-09-04 04:00:00,0.06264
2022-09-03 04:00:00,0.06135
2022-09-02 04:00:00,0.06258
2022-09-01 04:00:00,0.06067
2022-08-31 04:00:00,0.06318
2022-08-30 04:00:00,0.06355
2022-08-29 04:00:00,0.06195
2022-08-28 04:00:00,0.06327
2022-08-27 04:00:00,0.06387
2022-08-26 04:00:00,0.06911
2022-08-25 04:00:00,0.06826
2022-08-24 04:00:00,0.06725
2022-08-23 04:00:00,0.06852
2022-08-22 04:00:00,0.06828
2022-08-21 04:00:00,0.06843
2022-08-20 04:00:00,0.06959
2022-08-19 04:00:00,0.07394
2022-08-18 04:00:00,0.08084
2022-08-17 04:00:00,0.085
2022-08-16 04:00:00,0.07943
2022-08-15 04:00:00,0.08039
2022-08-14 04:00:00,0.07431
2022-08-13 04:00:00,0.07305
2022-08-12 04:00:00,0.07142
2022-08-11 04:00:00,0.07192
2022-08-10 04:00:00,0.06791
2022-08-09 04:00:00,0.0707
2022-08-08 04:00:00,0.06989
2022-08-07 04:00:00,0.06839
2022-08-06 04:00:00,0.07
2022-08-05 04:00:00,0.06847
2022-08-04 04:00:00,0.06702
2022-08-03 04:00:00,0.06649
2022-08-02 04:00:00,0.06597
2022-08-01 04:00:00,0.07007
2022-07-31 04:00:00,0.0704
2022-07-30 04:00:00,0.06891
2022-07-29 04:00:00,0.0716
2022-07-28 04:00:00,0.06674
2022-07-27 04:00:00,0.06184
2022-07-26 04:00:00,0.06168
2022-07-25 04:00:00,0.06461
2022-07-24 04:00:00,0.06778
2022-07-23 04:00:00,0.06819
2022-07-22 04:00:00,0.06951
2022-07-21 04:00:00,0.06831
2022-07-20 04:00:00,0.06965
2022-07-19 04:00:00,0.06629
2022-07-18 04:00:00,0.06472
2022-07-17 04:00:00,0.06436
2022-07-16 04:00:00,0.06258
2022-07-15 04:00:00,0.06252
2022-07-14 04:00:00,0.06138
2022-07-13 04:00:00,0.06034
2022-07-12 04:00:00,0.06199
2022-07-11 04:00:00,0.06593
2022-07-10 04:00:00,0.06801
2022-07-09 04:00:00,0.06929
2022-07-08 04:00:00,0.07193
2022-07-07 04:00:00,0.06866
2022-07-06 04:00:00,0.06698
2022-07-05 04:00:00,0.06941
2022-07-04 04:00:00,0.06651
2022-07-03 04:00:00,0.06629
2022-07-02 04:00:00,0.06642
2022-07-01 04:00:00,0.06599
2022-06-30 04:00:00,0.0684
2022-06-29 04:00:00,0.06663
2022-06-28 04:00:00,0.07018
2022-06-27 04:00:00,0.07504
2022-06-26 04:00:00,0.06791
2022-06-25 04:00:00,0.06768
2022-06-24 04:00:00,0.06521
2022-06-23 04:00:00,0.0627
2022-06-22 04:00:00,0.06271
2022-06-21 04:00:00,0.06031
2022-06-20 04:00:00,0.05838
2022-06-19 04:00:00,0.05188
2022-06-18 04:00:00,0.0564
2022-06-17 04:00:00,0.05577
2022-06-16 04:00:00,0.06019
2022-06-15 04:00:00,0.05353
2022-06-14 04:00:00,0.0553
2022-06-13 04:00:00,0.0598
2022-06-12 04:00:00,0.06602
2022-06-11 04:00:00,0.0758
2022-06-10 04:00:00,0.07936
2022-06-09 04:00:00,0.07986
2022-06-08 04:00:00,0.07948
2022-06-07 04:00:00,0.07929
2022-06-06 04:00:00,0.08303
2022-06-05 04:00:00,0.0809
2022-06-04 04:00:00,0.07977
2022-06-03 04:00:00,0.08259
2022-06-02 04:00:00,0.0806
2022-06-01 04:00:00,0.08557
2022-05-31 04:00:00,0.08751
2022-05-30 04:00:00,0.08442
2022-05-29 04:00:00,0.0807
2022-05-28 04:00:00,0.08195
2022-05-27 04:00:00,0.07844
2022-05-26 04:00:00,0.08288
2022-05-25 04:00:00,0.0839
2022-05-24 04:00:00,0.08412
2022-05-23 04:00:00,0.08542
2022-05-22 04:00:00,0.08442
2022-05-21 04:00:00,0.08419
2022-05-20 04:00:00,0.08649
2022-05-19 04:00:00,0.08436
2022-05-18 04:00:00,0.08861
2022-05-17 04:00:00,0.08977
2022-05-16 04:00:00,0.09012
2022-05-15 04:00:00,0.08716
2022-05-14 04:00:00,0.08972
2022-05-13 04:00:00,0.0931
2022-05-12 04:00:00,0.07854
2022-05-11 04:00:00,0.10927
2022-05-10 04:00:00,0.10894
2022-05-09 04:00:00,0.12218
2022-05-08 04:00:00,0.12638
2022-05-07 04:00:00,0.12762
2022-05-06 04:00:00,0.12817
2022-05-05 04:00:00,0.137
2022-05-04 04:00:00,0.12966
2022-05-03 04:00:00,0.13123
2022-05-02 04:00:00,0.13226
2022-05-01 04:00:00,0.13017
2022-04-30 04:00:00,0.13579
2022-04-29 04:00:00,0.14151
2022-04-28 04:00:00,0.13929
2022-04-27 04:00:00,0.13984
2022-04-26 04:00:00,0.1535
2022-04-25 04:00:00,0.12864
2022-04-24 04:00:00,0.13434
2022-04-23 04:00:00,0.13488
2022-04-22 04:00:00,0.13664
2022-04-21 04:00:00,0.14092
2022-04-20 04:00:00,0.143
2022-04-19 04:00:00,0.13962
2022-04-18 04:00:00,0.14003
2022-04-17 04:00:00,0.14294
2022-04-16 04:00:00,0.1468
2022-04-15 04:00:00,0.14383
2022-04-14 04:00:00,0.14105
2022-04-13 04:00:00,0.14055
2022-04-12 04:00:00,0.13595
2022-04-11 04:00:00,0.14624
2022-04-10 04:00:00,0.14987
2022-04-09 04:00:00,0.1423
2022-04-08 04:00:00,0.15038
2022-04-07 04:00:00,0.14276
2022-04-06 04:00:00,0.1598
2022-04-05 04:00:00,0.15044
2022-04-04 04:00:00,0.14466
2022-04-03 04:00:00,0.13919
2022-04-02 04:00:00,0.14287
2022-04-01 04:00:00,0.13494
2022-03-31 04:00:00,0.1447
2022-03-30 04:00:00,0.14249
2022-03-29 04:00:00,0.14456
2022-03-28 04:00:00,0.14894
2022-03-27 04:00:00,0.14135
2022-03-26 04:00:00,0.13132
2022-03-25 04:00:00,0.13536
2022-03-24 04:00:00,0.13637
2022-03-23 04:00:00,0.12187
2022-03-22 04:00:00,0.12174
2022-03-21 04:00:00,0.11944
2022-03-20 04:00:00,0.12228
2022-03-19 04:00:00,0.11878
2022-03-18 04:00:00,0.11501
2022-03-17 04:00:00,0.11695
2022-03-16 04:00:00,0.11274
2022-03-15 04:00:00,0.11247
2022-03-14 04:00:00,0.11137
2022-03-13 04:00:00,0.11588
2022-03-12 04:00:00,0.11642
2022-03-11 04:00:00,0.11587
2022-03-10 04:00:00,0.11898
2022-03-09 04:00:00,0.12157
2022-03-08 04:00:00,0.11897
2022-03-07 04:00:00,0.11912
2022-03-06 04:00:00,0.12414
2022-03-05 04:00:00,0.1227
2022-03-04 04:00:00,0.12602
2022-03-03 04:00:00,0.13202
2022-03-02 04:00:00,0.13496
2022-03-01 04:00:00,0.13259
2022-02-28 04:00:00,0.12337
2022-02-27 04:00:00,0.12502
2022-02-26 04:00:00,0.12912
2022-02-25 04:00:00,0.12361
2022-02-24 04:00:00,0.11569
2022-02-23 04:00:00,0.13045
2022-02-22 04:00:00,0.1256
2022-02-21 04:00:00,0.13914
2022-02-20 04:00:00,0.1388
2022-02-19 04:00:00,0.14145
2022-02-18 04:00:00,0.14105
2022-02-17 04:00:00,0.14799
2022-02-16 04:00:00,0.15006
2022-02-15 04:00:00,0.14836
2022-02-14 04:00:00,0.14528
2022-02-13 04:00:00,0.14455
2022-02-12 04:00:00,0.14518
2022-02-11 04:00:00,0.15222
2022-02-10 04:00:00,0.15783
2022-02-09 04:00:00,0.15595
2022-02-08 04:00:00,0.16525
2022-02-07 04:00:00,0.1595
2022-02-06 04:00:00,0.14809
2022-02-05 04:00:00,0.1479
2022-02-04 04:00:00,0.13822
2022-02-03 04:00:00,0.13774
2022-02-02 04:00:00,0.14298
2022-02-01 04:00:00,0.14369
2022-01-31 04:00:00,0.13789
2022-01-30 04:00:00,0.14181
2022-01-29 04:00:00,0.14202
2022-01-28 04:00:00,0.14107
2022-01-27 04:00:00,0.14012
2022-01-26 04:00:00,0.1459
2022-01-25 04:00:00,0.13659
2022-01-24 04:00:00,0.13936
2022-01-23 04:00:00,0.13679
2022-01-22 04:00:00,0.14229
2022-01-21 04:00:00,0.14982
2022-01-20 04:00:00,0.16544
2022-01-19 04:00:00,0.16628
2022-01-18 04:00:00,0.16867
2022-01-17 04:00:00,0.16965
2022-01-16 04:00:00,0.18023
2022-01-15 04:00:00,0.19067
2022-01-14 04:00:00,0.17621
2022-01-13 04:00:00,0.16664
2022-01-12 04:00:00,0.15311
2022-01-11 04:00:00,0.14571
2022-01-10 04:00:00,0.15107
2022-01-09 04:00:00,0.15154
2022-01-08 04:00:00,0.15652
2022-01-07 04:00:00,0.15304
2022-01-06 04:00:00,0.15489
2022-01-05 04:00:00,0.16979
2022-01-04 04:00:00,0.16986
2022-01-03 04:00:00,0.17192
2022-01-02 04:00:00,0.17271
2022-01-01 04:00:00,0.17147
2021-12-31 04:00:00,0.17145
2021-12-30 04:00:00,0.16903
2021-12-29 04:00:00,0.17678
2021-12-28 04:00:00,0.18126
2021-12-27 04:00:00,0.19079
2021-12-26 04:00:00,0.18608
2021-12-25 04:00:00,0.18736
2021-12-24 04:00:00,0.18303
2021-12-23 04:00:00,0.17454
2021-12-22 04:00:00,0.1723
2021-12-21 04:00:00,0.16994
2021-12-20 04:00:00,0.16992
2021-12-19 04:00:00,0.17278
2021-12-18 04:00:00,0.1697
2021-12-17 04:00:00,0.17441
2021-12-16 04:00:00,0.18073
2021-12-15 04:00:00,0.18382
2021-12-14 04:00:00,0.15732
2021-12-13 04:00:00,0.1652
2021-12-12 04:00:00,0.16814
2021-12-11 04:00:00,0.16518
2021-12-10 04:00:00,0.17151
2021-12-09 04:00:00,0.17708
2021-12-08 04:00:00,0.17691
2021-12-07 04:00:00,0.17948
2021-12-06 04:00:00,0.17147
2021-12-05 04:00:00,0.17902
2021-12-04 04:00:00,0.19018
2021-12-03 04:00:00,0.20737
2021-12-02 04:00:00,0.20425
2021-12-01 04:00:00,0.21657
2021-11-30 04:00:00,0.22149
2021-11-29 04:00:00,0.20554
2021-11-28 04:00:00,0.1995
2021-11-27 04:00:00,0.2053
2021-11-26 04:00:00,0.21879
2021-11-25 04:00:00,0.21969
2021-11-24 04:00:00,0.2232
2021-11-23 04:00:00,0.22271
2021-11-22 04:00:00,0.22245
2021-11-21 04:00:00,0.2289
2021-11-20 04:00:00,0.2336
2021-11-19 04:00:00,0.21863
2021-11-18 04:00:00,0.23756
2021-11-17 04:00:00,0.23277
2021-11-16 04:00:00,0.24702
2021-11-15 04:00:00,0.26226
2021-11-14 04:00:00,0.26115
2021-11-13 04:00:00,0.25645
2021-11-12 04:00:00,0.26573
2021-11-11 04:00:00,0.26177
2021-11-10 04:00:00,0.2705
2021-11-09 04:00:00,0.28361
2021-11-08 04:00:00,0.26959
2021-11-07 04:00:00,0.26255
2021-11-06 04:00:00,0.26371
2021-11-05 04:00:00,0.26193
2021-11-04 04:00:00,0.26968
2021-11-03 04:00:00,0.27165
2021-11-02 04:00:00,0.2705
2021-11-01 04:00:00,0.26617
2021-10-31 04:00:00,0.26754
2021-10-30 04:00:00,0.28492
2021-10-29 04:00:00,0.2939
2021-10-28 04:00:00,0.23582
2021-10-27 04:00:00,0.25901
2021-10-26 04:00:00,0.26446
2021-10-25 04:00:00,0.2684
2021-10-24 04:00:00,0.25009
2021-10-23 04:00:00,0.24604
2021-10-22 04:00:00,0.24529
2021-10-21 04:00:00,0.25259
2021-10-20 04:00:00,0.24288
2021-10-19 04:00:00,0.25473
2021-10-18 04:00:00,0.23787
2021-10-17 04:00:00,0.237
2021-10-16 04:00:00,0.2365
2021-10-15 04:00:00,0.23364
2021-10-14 04:00:00,0.23635
2021-10-13 04:00:00,0.22914
2021-10-12 04:00:00,0.22362
2021-10-11 04:00:00,0.23596
2021-10-10 04:00:00,0.24495
2021-10-09 04:00:00,0.24625
2021-10-08 04:00:00,0.24395
2021-10-07 04:00:00,0.24009
2021-10-06 04:00:00,0.25429
2021-10-05 04:00:00,0.2424
2021-10-04 04:00:00,0.21619
2021-10-03 04:00:00,0.21937
2021-10-02 04:00:00,0.21684
2021-10-01 04:00:00,0.20252
2021-09-30 04:00:00,0.20337
2021-09-29 04:00:00,0.19937
2021-09-28 04:00:00,0.20162
2021-09-27 04:00:00,0.2069
2021-09-26 04:00:00,0.20516
2021-09-25 04:00:00,0.21167
2021-09-24 04:00:00,0.22254
2021-09-23 04:00:00,0.22518
2021-09-22 04:00:00,0.20292
2021-09-21 04:00:00,0.20871
2021-09-20 04:00:00,0.22195
2021-09-19 04:00:00,0.23916
2021-09-18 04:00:00,0.24254
2021-09-17 04:00:00,0.25102
2021-09-16 04:00:00,0.24258
2021-09-15 04:00:00,0.24068
2021-09-14 04:00:00,0.23639
2021-09-13 04:00:00,0.23861
2021-09-12 04:00:00,0.2419
2021-09-11 04:00:00,0.24048
2021-09-10 04:00:00,0.25614
2021-09-09 04:00:00,0.25247
2021-09-08 04:00:00,0.25455
2021-09-07 04:00:00,0.3045
2021-09-06 04:00:00,0.31043
2021-09-05 04:00:00,0.29853
2021-09-04 04:00:00,0.29596
2021-09-03 04:00:00,0.29593
2021-09-02 04:00:00,0.30109
2021-09-01 04:00:00,0.27623
2021-08-31 04:00:00,0.27496
2021-08-30 04:00:00,0.28041
2021-08-29 04:00:00,0.28046
2021-08-28 04:00:00,0.29089
2021-08-27 04:00:00,0.26897
2021-08-26 04:00:00,0.28174
2021-08-25 04:00:00,0.28943
2021-08-24 04:00:00,0.31267
2021-08-23 04:00:00,0.32148
2021-08-22 04:00:00,0.31476
2021-08-21 04:00:00,0.32595
2021-08-20 04:00:00,0.31635
2021-08-19 04:00:00,0.2971
2021-08-18 04:00:00,0.29863
2021-08-17 04:00:00,0.32852
2021-08-16 04:00:00,0.33274
2021-08-15 04:00:00,0.30046
2021-08-14 04:00:00,0.28902
2021-08-13 04:00:00,0.27006
2021-08-12 04:00:00,0.2868
2021-08-11 04:00:00,0.262
2021-08-10 04:00:00,0.25196
2021-08-09 04:00:00,0.2413
2021-08-08 04:00:00,0.26422
2021-08-07 04:00:00,0.21532
2021-08-06 04:00:00,0.19957
2021-08-05 04:00:00,0.20014
2021-08-04 04:00:00,0.19549
2021-08-03 04:00:00,0.20025
2021-08-02 04:00:00,0.20466
2021-08-01 04:00:00,0.21671
2021-07-31 04:00:00,0.20894
2021-07-30 04:00:00,0.20802
2021-07-29 04:00:00,0.20304
2021-07-28 04:00:00,0.20601
2021-07-27 04:00:00,0.19852
2021-07-26 04:00:00,0.22541
2021-07-25 04:00:00,0.19336
2021-07-24 04:00:00,0.19451
2021-07-23 04:00:00,0.19217
2021-07-22 04:00:00,0.19014
2021-07-21 04:00:00,0.17509
2021-07-20 04:00:00,0.16456
2021-07-19 04:00:00,0.17884
2021-07-18 04:00:00,0.19023
2021-07-17 04:00:00,0.17106
2021-07-16 04:00:00,0.18661
2021-07-15 04:00:00,0.19533
2021-07-14 04:00:00,0.18973
2021-07-13 04:00:00,0.20586
2021-07-12 04:00:00,0.21707
2021-07-11 04:00:00,0.21179
2021-07-10 04:00:00,0.21936
2021-07-09 04:00:00,0.20417
2021-07-08 04:00:00,0.21961
2021-07-07 04:00:00,0.23464
2021-07-06 04:00:00,0.23488
2021-07-05 04:00:00,0.24243
2021-07-04 04:00:00,0.24499
2021-07-03 04:00:00,0.24317
2021-07-02 04:00:00,0.24117
2021-07-01 04:00:00,0.2435
2021-06-30 04:00:00,0.25531
2021-06-29 04:00:00,0.2552
2021-06-28 04:00:00,0.25581
2021-06-27 04:00:00,0.25181
2021-06-26 04:00:00,0.24463
2021-06-25 04:00:00,0.26271
2021-06-24 04:00:00,0.22932
2021-06-23 04:00:00,0.2094
2021-06-22 04:00:00,0.20817
2021-06-21 04:00:00,0.26513
2021-06-20 04:00:00,0.28344
2021-06-19 04:00:00,0.28827
2021-06-18 04:00:00,0.30534
2021-06-17 04:00:00,0.31329
2021-06-16 04:00:00,0.31684
2021-06-15 04:00:00,0.32683
2021-06-14 04:00:00,0.32156
2021-06-13 04:00:00,0.30895
2021-06-12 04:00:00,0.30649
2021-06-11 04:00:00,0.32486
2021-06-10 04:00:00,0.33895
2021-06-09 04:00:00,0.31846
2021-06-08 04:00:00,0.32487
2021-06-07 04:00:00,0.37604
2021-06-06 04:00:00,0.37296
2021-06-05 04:00:00,0.38004
2021-06-04 04:00:00,0.39838
2021-06-03 04:00:00,0.42514
2021-06-02 04:00:00,0.37847
2021-06-01 04:00:00,0.32772
2021-05-31 04:00:00,0.29765
2021-05-30 04:00:00,0.29777
2021-05-29 04:00:00,0.317
2021-05-28 04:00:00,0.33857
2021-05-27 04:00:00,0.33408
2021-05-26 04:00:00,0.35499
2021-05-25 04:00:00,0.3448
2021-05-24 04:00:00,0.30635
2021-05-23 04:00:00,0.34564
2021-05-22 04:00:00,0.33984
2021-05-21 04:00:00,0.399
2021-05-20 04:00:00,0.34236
2021-05-19 04:00:00,0.43243
2021-05-18 04:00:00,0.49257
2021-05-17 04:00:00,0.47298
2021-05-16 04:00:00,0.53434
2021-05-15 04:00:00,0.52426
2021-05-14 04:00:00,0.4979
2021-05-13 04:00:00,0.44114
2021-05-12 04:00:00,0.49196
2021-05-11 04:00:00,0.47198
2021-05-10 04:00:00,0.52996
2021-05-09 04:00:00,0.52
2021-05-08 04:00:00,0.71256
2021-05-07 04:00:00,0.57455
2021-05-06 04:00:00,0.63462
2021-05-05 04:00:00,0
